NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
VENOCUR FIT,ANTIVARICOSOS DE ACAO SISTEMICA + FITOTERAPICO SIMPLES,AESCULUS HIPPOCASTANUM L.
VENOLISE,ANTIVARICOSOS DE ACAO SISTEMICA + FITOTERAPICO SIMPLES,MELILOTUS OFFICINALIS (L.) PALL.
VENOMY,AGENTES ANTINEOPLÁSICOS,ACETATO DE ABIRATERONA
VENORUTON,ANTIVARICOSOS DE ACAO SISTEMICA,BETA-HIDROXIETILRUTOSÍDEOS
VENSATE LP,ANTIDEPRESSIVOS,CLORIDRATO DE VENLAFAXINA
VENTAVIS,PROSTAGLANDINAS,ILOPROSTA
VENTUS,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA,FUROATO DE MOMETASONA MONOIDRATADO
VENVANSE,PSICOANALETICOS,DIMESILATO DE LISDEXANFETAMINA
VENZER,ANTI-HIPERTENSIVOS SIMPLES,CANDESARTANA CILEXETILA
VENZER HCT,ANTI-HIPERTENSIVOS,CANDESARTANA CILEXETILA +  HIDROCLOROTIAZIDA
VEQUILE,AGENTES ANTINEOPLÁSICOS,FULVESTRANTO
VEROTINA,ANTIDEPRESSIVOS,CLORIDRATO DE FLUOXETINA
VERTIBET,ANTIVERTIGINOSOS,DICLORIDRATO DE BETAISTINA
VERTIGIUM,VASODILATADORES,DICLORIDRATO DE FLUNARIZINA
VERTIGOHEEL,MEDICAMENTOS DINAMIZADOS COMPOSTOS,AMBRA GRISEA +  CONIUM MACULATUM +  COCCULUS INDICUS +  PETROLEUM
VERTIX,VASODILATADORES,DICLORIDRATO DE FLUNARIZINA
VERTIZAN,VASODILATADORES,DICLORIDRATO DE FLUNARIZINA
VERTIZINE D,VASODILATADORES,DICLORIDRATO DE FLUNARIZINA +  MESILATO DE DIIDROERGOCRISTINA
VERUTEX,ANTINFECCIOSOS TOPICOS,ÁCIDO FUSÍDICO
VERUTEX B,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,VALERATO DE BETAMETASONA +  ÁCIDO FUSÍDICO
VERZENIOS,INIBIDORES DA PROTEÍNA QUINASE ,ABEMACICLIBE
VERZUM,VASODILATADORES CEREBRAIS,CINARIZINA
VESANOID,ANTINEOPLASICO,TRETINOÍNA
VESICARE,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SUCCINATO DE SOLIFENACINA
VESOMNI,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA +  SUCCINATO DE SOLIFENACINA
VEVASO,,DIOSMINA +  FLAVONÓIDES EXPRESSOS EM HESPERIDINA +  HESPERIDINA
VEXICA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SUCCINATO DE SOLIFENACINA
VFEND,ANTIMICOTICOS SISTEMICOS,VORICONAZOL
VI -  FERRIN,ANTIANEMICOS,CIANOCOBALAMINA +  FERRO QUELADO +  FERRO QUELATO +  ÁCIDO FÓLICO
VIAGRA,VASODILATADORES,CITRATO DE SILDENAFILA
VIASIL,VASODILATADORES,CITRATO DE SILDENAFILA
VIATINE,ANTIASMATICOS,MONTELUCASTE DE SÓDIO
VIBRADOXIN,CLASSE DAS TETRACICLINAS,DOXICICLINA MONOIDRATADA
VIBRAL,ANTITUSSIGENOS SIMPLES,DROPROPIZINA
VIBRAMICINA,CLASSE DAS TETRACICLINAS,DOXICICLINA MONOIDRATADA
VICK PYRENA,ANALGESICOS,PARACETAMOL
VICK PYRENA GRIP  7,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL
VICK VAPORUB,UNGUENTOS PERCUTANEOS E INALANTES,CÂNFORA +  EUCALIPTO +  MENTOL
VICODIL,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL
VICOG,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,VIMPOCETINA
VICTOZA,ANTIDIABETICOS,LIRAGLUTIDA
VIDENFIL,VASODILATADORES,CITRATO DE SILDENAFILA
VIDISIC GEL,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,ÁCIDO POLIACRÍLICO
VIDMAX,ANTICONVULSIVANTES,TOPIRAMATO
VIDYN D3,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL
VIE,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA
VIEWGAM,CONTRASTES RADIOLOGICOS,GADOPENTETATO DE DIMEGLUMINA
VIGADEXA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,CLORIDRATO DE MOXIFLOXACINO +  FOSFATO DISSÓDICO DE DEXAMETASONA
VIGAMOX,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,CLORIDRATO DE MOXIFLOXACINO
VIGOR NATUS,NEUROPSICOESTIMULANTES,PANAX GINSENG C. A. MEY.
VIKATRON,VITAMINA K SIMPLES OU EM ASSOCIACOES MEDICAMENTOSAS,FITOMENADIONA
VILNE,ANTINEOPLASICOS CITOTOXICOS,HEMITARTARATO DE VINORELBINA
VIMIZIM,ENZIMA PARA REPOSIÇAO,ALFAELOSULFASE
VIMOVO,AGENTES ANTIINFLAMATÓRIOS/ANTIREUMÁTICOS EM ASSOCIAÇÃO,NAPROXENO +  ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
VIMPAT,ANTICONVULSIVANTES,LACOSAMIDA
VINATIN,ANTINEOPLASICO,SULFATO DE VIMBLASTINA
VINCY,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
VIRINEO,VASODILATADORES,CITRATO DE SILDENAFILA
VISAZUL CLEAR,DESCONGESTIONATES OFTALMICOS,CLORIDRATO DE NAFAZOLINA +  SULFATO DE ZINCO HEPTAIDRATADO
VISIPAQUE,CONTRASTES RADIOLOGICOS,IODIXANOL
VISODINA,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,OLOPATADINA
VISOPTIC,ANTIGLAUCOMATOSOS,CLORIDRATO DE BETAXOLOL
VISULIN N,ANTIDIABETICOS,INSULINA ISOFANA
VIT PANTENOL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,DEXPANTENOL
VITA E,MONOVITAMINAS EXCETO VITAMINA K,ACETATO DE RACEALFATOCOFEROL
VITA GRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,
VITACID,PRODUTOS ANTI-ACNE,TRETINOÍNA +  ÁCIDO RETINÓICO
VITACID ACNE,PRODUTOS ANTI-ACNE,FOSFATO DE CLINDAMICINA +  TRETINOÍNA
VITACID PLUS,DESMELANIZANTES,FLUOCINOLONA +  HIDROQUINONA +  TRETINOÍNA
VITACIN,VITAMINAS,ÁCIDO ASCÓRBICO
VITADERME,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,ACETATO DE TOCOFEROL +  ALANTOÍNA +  COLECALCIFEROL +  PALMITATO DE RETINOL
VITADESAN,POLIVITAMINICOS SEM MINERAIS,COLECALCIFEROL +  PALMITATO DE RETINOL
VITAGLÓS,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,COLECALCIFEROL +  OXIDO DE ZINCO +  PALMITATO DE RETINOL
VITAL COLIRIO,DESCONGESTIONATES OFTALMICOS,CLORIDRATO DE NAFAZOLINA +  SULFATO DE ZINCO HEPTAIDRATADO
VITAMAGRIS,IODOTERAPIA,FUCUS VESICULOSUS L.
VITAMIN E,MONOVITAMINAS EXCETO VITAMINA K,ACETATO DE RACEALFATOCOFEROL
VITAMINA B1,MONOVITAMINAS EXCETO VITAMINA K,CLORIDRATO DE TIAMINA
VITAMINA B1 NEO QUÍMICA,MONOVITAMINAS EXCETO VITAMINA K,CLORIDRATO DE TIAMINA
VITAMINA C INJETÁVEL,VITAMINAS E SUPLEMENTOS MINERAIS,ÁCIDO ASCÓRBICO
VITAMINA C MARIOL,VITAMINAS,ÁCIDO ASCÓRBICO
VITAMINA C MEDQUÍMICA,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO +  ÁCIDO ASCÓRBICO 90%
VITAMINA D CIMED,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
VITAMINA D3,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
VITAMINA D3,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL
VITAMINA E,MONOVITAMINAS EXCETO VITAMINA K,ACETATO DE RACEALFATOCOFEROL
VITANOL-A,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,TRETINOÍNA
VITAONE C,VITAMINAS,ÁCIDO ASCÓRBICO
VITARISTON C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO
VITASANTISA C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO
VITATRAT,ANTIVARICOSOS DE ACAO SISTEMICA + FITOTERAPICO SIMPLES,AESCULUS HIPPOCASTANUM L.
VITAUM,MONOVITAMINAS EXCETO VITAMINA K,CLORIDRATO DE TIAMINA
VITAXON C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO
VITDERA D3,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
VITER C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO
VITER C + Zn,VITAMINAS E SUPLEMENTOS MINERAIS,ÁCIDO ASCÓRBICO +  ÓXIDO DE ZINCO
VITERGAN MASTER,VITAMINAS E SUPLEMENTOS MINERAIS,ACETATO DE RACEALFATOCOFEROL +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  FOSFATO DE CÁLCIO DIBÁSICO ANIDRO +  FUMARATO FERROSO +  GLICONATO DE MAGNÉSIO +  GLICONATO DE POTÁSSIO +  LECITINA DE SOJA +  NICOTINAMIDA +  NITRATO DE TIAMINA +  OXIDO DE ZINCO +  PALMITATO DE RETINOL +  PANAX GINSENG C. A. MEY. +  PANTOTENATO DE CALCIO +  RIBOFLAVINA +  RUTOSÍDE
VITERGAN ZINCO,POLIVITAMINICOS COM MINERAIS,ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  SELÊNIO +  ÁCIDO ASCÓRBICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO
VITERGYL C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO
VITERGYL ZINCO,VITAMINAS E SUPLEMENTOS MINERAIS,GLICONATO DE ZINCO +  ÁCIDO ASCÓRBICO
VITERSOL DM,MONOVITAMINAS EXCETO VITAMINA K,COLECALCIFEROL
VITPEEL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,TRETINOÍNA
VITRAKVI,AGENTES ANTINEOPLÁSICOS,SULFATO DE LAROTRECTINIBE
VITÔNICO,ESTIMULANTES DO APETITE,SULFATO FERROSO +  ÁCIDO FOSFÓRICO
VIVAXXIA,ANTINEOPLASICO,RITUXIMABE
VIVENCIA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,HEMITARTARATO DE RIVASTIGMINA
VIVERDAL,NEUROLEPTICOS,RISPERIDONA
VIXGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,BISSULFATO DE CLOPIDOGREL
VOCETY,ANTIALERGICOS,DICLORIDRATO DE LEVOCETIRIZINA
VODOL,ANTIMICOTICOS PARA USO TOPICO,NITRATO DE MICONAZOL
VODSSO,ANTICONVULSIVANTES,VALPROATO DE SÓDIO +  ÁCIDO VALPRÓICO
VOLARE,,ENOXAPARINA SÓDICA
VOLCIS,BLOQUEADOR NEUROMUSCULAR,BESILATO DE CISATRACÚRIO
VOLIBRIS,ANTI-HIPERTENSIVOS,AMBRISENTANA
VOLIG,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
VOLNAC,ANTIMICOTICOS PARA USO TOPICO,NITRATO DE MICONAZOL
VOLTAFLEX AP,ANTINFLAMATORIOS ANTIREUMATICOS,DICLOFENACO SÓDICO
VOLTAREN,ANTINFLAMATORIOS ANTIREUMATICOS,DICLOFENACO SÓDICO
VOLUVEN 6%,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS,CLORETO DE SÓDIO +  HIDROXIETILAMIDO
VOMISTOP,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO
VONAU,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
VONFLUX,ANTIVARICOSOS DE ACAO SISTEMICA,DIOSMINA +  HESPERIDINA
VORALLIS,VASODILATADORES,TADALAFILA
VORI,ANTIMICOTICOS SISTEMICOS,VORICONAZOL
VORI INJ,ANTIMICOTICO,VORICONAZOL
VORICONAZOL,ANTIMICOTICOS SISTEMICOS,VORICONAZOL
VORICONAZOL,ANTIMICOTICO,VORICONAZOL
VOTRIENT,ANTINEOPLASICO,CLORIDRATO DE PAZOPANIBE
VOXZOGO,MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO,VOSORITIDA
VPRIV,ENZIMA PARA REPOSIÇAO,ALFAVELAGLICERASE
VSIQQ,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,BROLUCIZUMABE
VULNAGEN,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,TINIDAZOL +  TIOCONAZOL
VURTUOSO,ANTIDEPRESSIVOS,BROMIDRATO DE VORTIOXETINA
VYEPTI,,EPTINEZUMABE
VYNAXA,ANTITROMBOTICO,RIVAROXABANA
VYTORIN,ANTILIPEMICOS,EZETIMIBA +  SINVASTATINA
VYZULTA,ANÁLOGOS DA PROSTAGLANDINA ,LATANOPROSTENO BUNODE
VZOM,ANTIMICOTICOS SISTEMICOS,VORICONAZOL
Vacina Contra Raiva Uso Humano,VACINAS,VÍRUS RÁBICO INATIVADO
"Vacina Influenza Trivalente (subunitária, inativada)",VACINAS,CEPA INFLUENZA TIPO B +  CEPA INFLUENZA TIPO A (H1N1) +  CEPA INFLUENZA TIPO A (H3N2)
Vacina Recombinante contra Hepatite B,VACINAS,PROTEÍNA ANTIGÊNICA DE SUPERFÍCIE (HEP. B)
"Vacina poliomielite 1, 2 e 3 (inativada)",VACINAS,POLIOVÍRUS INATIVADOS TIPO 1 +  POLIOVÍRUS INATIVADOS TIPO 2 +  POLIOVÍRUS INATIVADOS TIPO 3
"Vacina sarampo, caxumba, rubéola e varicela (atenuada)",VACINAS,VIRUS DA VARICELA +  VÍRUS DA CAXUMBA +  VÍRUS DA RUBEOLA +  VÍRUS DO SARAMPO
Valerance,,VALERIANA OFFICINALIS L.
Valerato Betametasona,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,VALERATO DE BETAMETASONA
Valerato de betametasona,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,VALERATO DE BETAMETASONA
Valerato de betametasona+sulfato de gentamicina+tolnaftato+cloquinol,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,CLIOQUINOL +  SULFATO DE GENTAMICINA +  TOLNAFTATO +  VALERATO DE BETAMETASONA
Valproato de sódio,ANTICONVULSIVANTES,VALPROATO DE SÓDIO
Valsed,ANSIOLITICOS SIMPLES,VALERIANA OFFICINALIS L.
Vank,ANTIBIOTICOS SISTEMICOS SIMPLES,CLORIDRATO DE VANCOMICINA
Vasotrilix,DIURETICOS SIMPLES,INDAPAMIDA
Vastarel caps LP,ANTIANGINOSOS E VASODILATADORES,DICLORIDRATO DE TRIMETAZIDINA
Vatis,ANTIARRITMICOS,CLORIDRATO DE PROPAFENONA
Vemlidy,ANTIINFECCIOSOS PARA USO SISTÊMICO + ANTIVIRAIS DE AÇÃO DIRETA + ANTIVIRAIS PARA USO SISTÊMICO + NUCE,HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA
Ventia,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALFA1ANTITRIPSINA
Versa,ANTICOAGULANTES,ENOXAPARINA SÓDICA
Vialebex,DERIVADOS DO SANGUE E SUBSTITUTOS,ALBUMINA HUMANA
Vidaza,ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA,AZACITIDINA
Viibryd,ANTIDEPRESSIVOS,CLORIDRATO DE VILAZODONA
Vitalfolic,VITAMINAS,ÁCIDO FÓLICO
Vitrakvi,AGENTES ANTINEOPLÁSICOS,SULFATO DE LAROTRECTINIBE
Vivencia Patch,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,RIVASTIGMINA
Voncento,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FATOR VIII DE COAGULAÇÃO +  FATOR DE VON WILLEBRAND
Voriconazol,ANTIMICOTICO,VORICONAZOL
Vosevi,ANTIVIRAIS DE AÇÃO DIRETA,VELPATASVIR +  VOXILAPREVIR +  SOFOSBUVIR
Vyndaqel,OUTROS MEDICAMENTOS COM AÇÃO NO SISTEMA NERVOSO,TAFAMIDIS MEGLUMINA
VÊNULA,ANTIVARICOSOS DE ACAO SISTEMICA,HIDROSMINA
WALLERY,ANSIOLITICOS SIMPLES,VALERIANA OFFICINALIS L.
WAYLIVRA,OUTROS AGENTES MODIFICADORES DE LIPÍDEOS,VOLANESORSENA SÓDICA
WELETUSS,MEDICAMENTOS DINAMIZADOS COMPOSTOS,BRYONIA ALBA L. +  CUPRUM ACETICUM +  DROSERA ROTUNDIFOLIA +  CEPHAELIS IPECACUANHA
WELLBUTRIN,ANTIDEPRESSIVOS,CLORIDRATO DE BUPROPIONA
WELLPRON,ANTIPARASITARIOS,ATOVAQUONA
WILATE,ANTICOAGULANTES,FATOR VIII DE COAGULAÇÃO +  FATOR VON WILLEBRAND +  FATOR DE VON WILLEBRAND
WILFACTIN,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FATOR VON WILLEBRAND
WILLENTINE,MODULADORES DO METABOLISMO E DA DIGESTAO,DICLORIDRATO DE TRIENTINA
WINDUZA,ANTINEOPLASICO,AZACITIDINA
WONILIN,PENICILINA G E DERIVADOS (BENZILPENICILINAS),BENZILPENICILINA POTÁSSICA +  BENZILPENICILINA PROCAÍNA
WOSULIN 70/30,ANTIDIABETICOS,INSULINA HUMANA
WOSULIN N,ANTIDIABETICOS,INSULINA ISOFANA
WOSULIN R,ANTIDIABETICOS,INSULINA HUMANA
Waryz,ANTIVARICOSOS DE ACAO SISTEMICA,DIOSMINA +  HESPERIDINA
Winter AP,DESCONGESTIONANTES NASAIS SISTEMICOS,
XADAGO,ANTIPARKINSONIANOS,MESILATO DE SAFINAMIDA
XAFAC,ANTICOAGULANTES,RIVAROXABANA
XALACOM,ANTIGLAUCOMATOSOS,LATANOPROSTA +  MALEATO DE TIMOLOL
XALANOFT,PROSTAGLANDINAS,LATANOPROSTA +  MALEATO DE TIMOLOL
XALATAN,PROSTAGLANDINAS,LATANOPROSTA
XALKORI,ANTINEOPLASICO,CRIZOTINIBE
XALOFTAL,PROSTAGLANDINAS,LATANOPROSTA
XANTINON,COLAGOGOS E COLERETICOS,CLORETO DE COLINA +  RACEMETIONINA
XANTINON COMPLEX,COLAGOGOS E COLERETICOS,BETAÍNA +  CITRATO DE COLINA +  ACETILRACEMETIONINA
XAROPE 44 E,ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS,BROMIDRATO DE DEXTROMETORFANO +  GUAIFENESINA
XAROPE DE GUACO BELFAR,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,MIKANIA GLOMERATA SPRENG.
XAROPE DE GUACO CIMED,BRONCODILATADORES + EXPECTORANTES,MIKANIA GLOMERATA SPRENG. +  MIKANIA LAEVIGATA SCH.BIP. EX BAKER. 
XAROPE DE GUACO HERBARIUM,EXPECTORANTES + FITOTERAPICO SIMPLES,MIKANIA GLOMERATA SPRENG.
XAROPE DE GUACO NATULAB,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,MIKANIA GLOMERATA SPRENG.
XAROPE GUACO MELPOEJO,EXPECTORANTES + FITOTERAPICO SIMPLES,MIKANIA GLOMERATA SPRENG.
XAROPE VICK,EXPECTORANTES,GUAIFENESINA
XATRAL OD,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE ALFUZOSINA
XEFO,ANTINFLAMATORIOS,LORNOXICAM
XELJANZ,IMUNOSUPRESSOR,CITRATO DE TOFACITINIBE
XELODA,OUTROS ANTINEOPLASICOS,CAPECITABINA
XENILIPI,ORLISTATE,ORLISTATE
XGEVA,ANTINEOPLASICO,DENOSUMABE
XIGDUO XR,ANTIDIABETICOS,CLORIDRATO DE METFORMINA +  PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO
XILFYA,ANTINFLAMATORIOS,INFLIXIMABE
XOFIGO,ISOTOPOS RADIOATIVOS ANTINEOPLASICOS,CLORETO DE RÁDIO (223 RA)
XOLAIR,OUTROS ANTIALERGICOS,OMALIZUMABE
XPREZA,ANTIMETABOLICOS ANALOGOS DA PIRIMIDINA,AZACITIDINA
XTANDI,ANTINEOPLASICO,ENZALUTAMIDA
XULTOPHY,ANTIDIABETICOS,INSULINA DEGLUDECA +  LIRAGLUTIDA
XYLESTESIN,ANESTESICOS LOCAIS,CLORIDRATO DE LIDOCAINA +  LIDOCAÍNA
XYLESTESIN,ANESTESICOS LOCAIS,CLORIDRATO DE LIDOCAINA +  HEMITARTARATO DE EPINEFRINA
XYLESTESIN ISOBÁRICO,MEDICAMENTOS C/ ACAO NO MIOCARDIO,CLORIDRATO DE LIDOCAINA
XYLOCAINA,ANESTESICOS LOCAIS,CLORIDRATO DE LIDOCAINA +  LIDOCAÍNA
XYLOPROCT,ANTI-HEMORROIDARIOS TOPICOS,ACETATO DE HIDROCORTISONA +  LIDOCAÍNA +  OXIDO DE ZINCO +  SUBACETATO DE ALUMÍNIO
XYNAZ,NEUROLEPTICOS,CLOZAPINA
XYNTHA,OUTROS PRODUTOS ANTI-HEMORRAGICOS,ALFAMOROCTOCOGUE
Xarelto,ANTITROMBOTICO,RIVAROXABANA
Xeomin,AGENTE PARALISANTE NEUROMUSCULAR,TOXINA BOTULÍNICA A
Xifaxan,RIFAXIMINA,RIFAXIMINA
Xilbrilada,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE
Xospata®,AGENTES ANTINEOPLÁSICOS,HEMIFUMARATO DE GILTERITINIBE
Xylestesin Pesada,ANESTESICOS LOCAIS,CLORIDRATO DE LIDOCAINA +  GLICOSE ANIDRA
Xylestesin com norepinefrina,ANESTESICOS LOCAIS,CLORIDRATO DE LIDOCAINA +  HEMITARTARATO DE NOREPINEFRINA
YANG 30,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
YASMIN,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
YAZ,ANTICONCEPCIONAIS,DROSPIRENONA +  CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA
YERVOY,ANTINEOPLASICO,IPILIMUMABE
YESOM,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,ESOMEPRAZOL SÓDICO
YLANA,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
YOMAX,VASODILATADORES PERIFERICOS,CLORIDRATO DE IOIMBINA
YVEC,ANTINEOPLASICO,MESILATO DE IMATINIBE
YVI,ESTROGENOS SIMPLES,VALERATO DE ESTRADIOL MICRONIZADO
ZAARPRESS,ANTI-HIPERTENSIVOS SIMPLES,LOSARTANA POTÁSSICA
ZAARPRESS HCT,ANTI-HIPERTENSIVOS,HIDROCLOROTIAZIDA +  LOSARTANA POTÁSSICA
ZANIDIP,ANTI-HIPERTENSIVOS,CLORIDRATO DE LERCANIDIPINO
ZAP,ANTIPSICOTICOS,OLANZAPINA
ZAPSY,ANTIDEPRESSIVOS,MIRTAZAPINA
ZARGUS,NEUROLEPTICOS,RISPERIDONA
ZARMINE,BETABLOQUEADORES SIMPLES,SUCCINATO DE METOPROLOL
ZART,ANTI-HIPERTENSIVOS SIMPLES,LOSARTANA POTÁSSICA
ZART ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  LOSARTANA POTÁSSICA
ZART H,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  LOSARTANA POTÁSSICA
ZARTECORE,ANTI-HIPERTENSIVOS,HIDROCLOROTIAZIDA +  LOSARTANA POTÁSSICA
ZARZIO,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,FILGRASTIM
ZAVESCA,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,MIGLUSTATE
ZEDIV,ANALGESICOS NAO NARCOTICOS,IBUPROFENO
ZEEL COMP N,MEDICAMENTOS DINAMIZADOS COMPOSTOS,RHUS TOXICODENDRON L. +  SANGUINARIA CANADENSIS L. +  SOLANUM DULCAMARA L. +  SULFUR +  ARNICA MONTANA
ZEJULA,OUTROS AGENTES ANTINEOPLÁSICOS,TOSILATO DE NIRAPARIBE MONOIDRATADO
ZELBORAF,ANTINEOPLASICO,VEMURAFENIBE
ZELIX,ANTIMICOTICO,FLUCONAZOL
ZELMAC,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,MALEATO DE TEGASERODE
ZELNIN,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ACICLOVIR
ZEMAIRA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALFA1ANTITRIPSINA
ZEMPLAR,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,PARICALCITOL
ZENCEF,CEFALOSPORINAS,CEFUROXIMA SÓDICA
ZENTEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL
ZEPATIER,OUTROS ANTIVIRÓTICOS,ELBASVIR +  GRAZOPREVIR MONOIDRATADO 
ZERBAXA,OUTRAS CEFALOSPORINAS E PENEMICOS,SULFATO DE CEFTOLOZANA +  TAZOBACTAM SÓDICO
ZEROPIN,ANTICONVULSIVANTES,PREGABALINA
ZESTEN,ANTIPSICOTICOS,OLANZAPINA
ZETIA,ANTILIPEMICOS,EZETIMIBA
ZETRON,ANTIDEPRESSIVOS,CLORIDRATO DE BUPROPIONA
ZETSIM,ANTILIPEMICOS,EZETIMIBA +  SINVASTATINA
ZIAGENAVIR,ANTIVIROTICOS,SULFATO DE ABACAVIR
ZICLAGUE,ANTIESPASMODICOS,ALPINIA ZERUMBET (PERS.) B.L. BURTT & R.M. SM.
ZIDER,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA
ZIDOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ZIDOVUDINA
ZIETY,ANTITABAGICO,CLORIDRATO DE BUPROPIONA
ZILABEN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,BENZOATO DE BENZILA
ZILARICINA,ANTIGOTOSOS,BENZBROMARONA
ZILEDON,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE DONEPEZILA
ZILEPAM,ANTICONVULSIVANTES,CLONAZEPAM
ZIMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
ZIMIEX,ANTILIPEMICOS,EZETIMIBA
